id,name,address,location,has_outdoor_seating,google_place_id
1,Garden Restaurant & Vinbar,"Gothersgade 87 &, Landemærket 57, 1119 København, Danmark",0101000020E61000005C8BBBE6FA272940DBA73EEB75D74B40,t,ChIJhUHIWhpTUkYRVyuCJF_XP-Y
2,Restaurant Le Pavé,"Gråbrødretorv 14, 1154 København, Danmark",0101000020E61000005650ACAE9E26294010D54AD702D74B40,t,ChIJoWHe9RBTUkYR5A-4KOetnVs
3,Det Glade Vanvid - København K,"Læderstræde 3, 1201 København, Danmark",0101000020E61000005FBAA4C574282940E07AB9F4D4D64B40,t,ChIJ85UJLGtTUkYRPaMVJAn_aD8
4,Feed Bistro,"Vesterbrogade 1p, 1620 København V, Danmark",0101000020E61000001BA5A6B805222940F654980865D64B40,t,ChIJ56U6TQdTUkYRKv_NozF8TIg
5,Restaurant Noi,"H. C. Andersens Blvd. 34, 1574 København, Danmark",0101000020E6100000F392FFC9DF2529408C4F5CE910D64B40,t,ChIJ__9PEhNTUkYRUueDYXvDHUw
6,No deux,"Gyldenløvesgade 4, 1369 København, Danmark",0101000020E610000027309DD66D202940E5C2370312D74B40,t,ChIJDaIRuIxTUkYRCzrx620c1k4
7,Restaurant 1733,"Nybrogade 14, 1203 København, Danmark",0101000020E6100000E21DE0490B272940AC527AA697D64B40,t,ChIJMfETSK5TUkYRyJFYaj3crfg
8,Restaurant ÉLAN,"Store Kongensgade 62, 1264 København, Danmark",0101000020E6100000A1B14005D12C29408F7E45C88AD74B40,t,ChIJJRjRKWlTUkYRXlVvitsnpdE
9,Pastis,"Gothersgade 52, 1304 København, Danmark",0101000020E61000002B4CDF6B082A29401E4FCB0F5CD74B40,t,ChIJxwYLkhlTUkYRH3b6r8kqvBs
10,Polly,"Gl. Kongevej 96, 1850 Frederiksberg, Danmark",0101000020E6100000BAB3C068A0172940E136644D76D64B40,t,ChIJPWjEnWlTUkYRSDOwrFiPlDY
11,Zeleste,"Store Strandstræde 6, 1255 København, Danmark",0101000020E6100000A3CE37FD342D29402C39382229D74B40,t,ChIJV-b_BxhTUkYR5Lm895nxQ9g
12,Restaurant Gemini,"Gl. Kongevej 10 fra søsiden, 1610 København, Danmark",0101000020E610000047F1E0DD801D2940A651370653D64B40,t,ChIJqdiO3dJTUkYRGveudQolM0Y
13,Restaurant Chapung - Rooftop & Bar,"Gyldenløvesgade 19, 6 sal, 1600 København, Danmark",0101000020E610000014515D0A591F2940C3A5194119D74B40,t,ChIJqa_qbK5TUkYRNQWpT-zV2-c
14,Frank,"Grønnegade 33, 1107 København, Danmark",0101000020E610000010EF94698F2A2940CA1B60E63BD74B40,t,ChIJkZpy0xlTUkYRcypj3SGxtgQ
15,Maven,"Nikolaj Plads 10, 1067 København, Danmark",0101000020E61000001A8FADC2C1292940080264E8D8D64B40,t,ChIJZ7XgGRdTUkYRC6k1hne-Xts
16,Cafe Wilder,"Wildersgade 56, 1408 København, Danmark",0101000020E610000071BA1BFADD2E2940AD2B0BCB44D64B40,t,ChIJ9SAIoT5TUkYRynRaepRZLas
17,Venner,"Teglgårdstræde 13, 1452 København, Danmark",0101000020E6100000BF26101BD1222940CF67F62FFFD64B40,t,ChIJjQcOO_9TUkYRP0q2nefYFgY
18,Restaurant MARK - Bistro & Bar,"Axeltorv 3, 1609 København, Danmark",0101000020E61000000350D6B9B3202940C11F7EFE7BD64B40,t,ChIJ5Qw1Eo9TUkYRDcfi4Qhax3U
19,Donna Restaurant,"Vester Voldgade 25, 1552 København, Danmark",0101000020E6100000E232B8F7BA222940CDDAB7A4B4D64B40,t,ChIJD6FNTQBTUkYRQqPgC8Y3HhU
20,Seaside Toldboden,"Nordre Toldbod 18-24, 1259 København, Danmark",0101000020E6100000B64714FF1C33294088BF812447D84B40,t,ChIJi53zoiBTUkYRWRzV-Ll4NBM
21,Dexter's,"Åboulevard 9AB, 1635 København, Danmark",0101000020E6100000EF4806CAB71C294016A941E268D74B40,t,ChIJkV1OAwhTUkYR3QAGKCgoEGw
22,The Library Bar,"Bernstorffsgade 4, 1570 København, Danmark",0101000020E6100000D94E4AF72921294057E47C563ED64B40,t,ChIJoev5BQ1TUkYRDoOG00R-Osc
23,Level Six Rooftop Bar & Terrace,"Frederiksborggade 18, 1360 København, Danmark",0101000020E6100000FEA4901AC92429402B35D65988D74B40,t,ChIJp5Cn2_BTUkYRQu0Sg8vWXts
24,Cube Bar,"Vesterbrogade 11B, 1620 København, Danmark",0101000020E61000002FB7C5466A1F29405A7D1A9C2DD64B40,t,ChIJRfMPlQxTUkYRaxpoFwWNzeI
25,Lidkoeb,"Vesterbrogade 72B, 1620 København, Danmark",0101000020E6100000872469ED6C1A29406D4D5F741ED64B40,t,ChIJbZ3drgpTUkYRkQazSR_D_U4
26,Floss Bar,"Larsbjørnsstræde 10, 1454 København, Danmark",0101000020E61000001A8634CFB6232940123F106AD0D64B40,t,ChIJayFSIQ5TUkYRvvN3b5-CMD4
27,Alefarm,"Nørrebrogade 1, 2200 København, Danmark",0101000020E6100000769373BDC81F2940E23F38FAF3D74B40,t,ChIJjw0lSwBTUkYRAnjAhIp6QQY
28,Freddys Bar,"Gasværksvej 28, 1656 København, Danmark",0101000020E61000002D8892DAD51D29408F741772B6D54B40,t,ChIJmTrve3NTUkYRc_cVAw6hfGE
29,Trykbar,"Møntergade 24, 1116 København, Danmark",0101000020E6100000948F93782F292940F5990EF857D74B40,t,ChIJiSd1HxpTUkYRupH2dze4HvE
30,The Bird & The Churchkey,"Gammel Strand 44, 1202 København, Danmark",0101000020E6100000E161DA37F7272940D308FD4CBDD64B40,t,ChIJ5anvMhFTUkYRhpKcnKQZ5jw
31,Palæ Bar,"Ny Adelgade 5, 1104 København, Danmark",0101000020E6100000F213BD42D52A29400339CDA733D74B40,t,ChIJgXyQ0RlTUkYRJbAwKR74lp0
32,Fermentoren,"Halmtorvet 29C, 1700 København, Danmark",0101000020E6100000824DE7D4DF1C29403F83E1B77CD54B40,t,ChIJFVIMC3RTUkYR5fgRNfw4lYo
33,"Luke's Rock, Metal & Whisky Bar","Klosterstræde 23, 1157 København, Danmark",0101000020E6100000231A38FB5E262940524BCEE4F6D64B40,t,ChIJo1q-jkVTUkYRHuCz3UNXTI0
34,Bootleggers,"Linnésgade 16D, 1361 København, Danmark",0101000020E6100000D0BAA184F4232940FB5F09FF7DD74B40,t,ChIJm9GHFAVTUkYRK0ULAonmeeo
35,Barkowski,"Nørre Farimagsgade 57, 1364 København, Danmark",0101000020E6100000640DCD2B8D2229406B9A779CA2D74B40,t,ChIJVcffsAVTUkYRVuZBoULYZ4M
36,The Moose,"Sværtegade 5, 1118 København, Danmark",0101000020E6100000BE34A0394629294035A1FFD42ED74B40,t,ChIJ-f90_hlTUkYRd2kS7aGwSyA
37,BrewPub Copenhagen,"Vestergade 29, 1456 København, Danmark",0101000020E6100000271186A691232940B9403855ADD64B40,t,ChIJO-oSAw5TUkYRXXLAeZ8XsQ0
38,The Barking Dog,"Sankt Hans Gade 19, 2200 København, Danmark",0101000020E610000003ED0E2906202940AFDF13EB54D84B40,t,ChIJr5s-5wBTUkYRnOH7l6Pb3hk
39,Skaal,"Kultorvet 11, 1175 København, Danmark",0101000020E6100000BF767AEFB9252940AE2990D959D74B40,t,ChIJ00YgpRpTUkYRyDvvWE2seVY
